sy,stuid,schid,grade,dob,gender,race,iep,math,ela,sci,soc,oss
2018,1,A,6,8/5/2007,2,Black,1,63,60,57,62,0
2018,2,A,6,2/26/2007,1,Hispanic,0,86,91,53,87,0
2018,3,A,6,3/13/2007,1,Black,1,68,83,54,74,0
2018,4,A,6,11/7/2006,2,White,0,77,86,51,84,0
2018,5,A,6,4/15/2007,2,White,0,89,95,57,93,0
2018,6,A,6,4/18/2007,2,Hispanic,1,61,52,57,57,0
2018,7,A,6,7/28/2007,2,White,0,80,75,51,76,0
2018,8,A,6,8/5/2007,2,Black,1,66,56,54,61,0
2018,9,A,6,3/5/2007,1,Black,1,52,54,70,52,0
2018,10,A,6,7/22/2007,1,White,0,98,98,75,98,0
2018,10,A,6,7/22/2007,1,White,0,98,98,75,98,2
2018,11,A,6,8/24/2007,2,Hispanic,0,79,71,51,74,0
2018,12,A,6,1/18/2007,2,Asian,0,73,78,51,76,0
2018,13,A,6,9/29/2006,2,Black,1,52,53,69,52,0
2018,14,A,6,7/5/2007,1,White,-9,-9,-9,-9,-9,0
2018,15,A,6,1/24/2007,2,Black,1,60,62,59,60,0
2018,16,A,6,2/27/2007,1,Hispanic,0,85,94,53,88,0
2018,17,A,6,7/25/2007,1,Hispanic,1,70,66,52,69,2
2018,18,A,6,4/7/2007,1,Black,0,86,93,53,87,1
2018,19,A,6,8/12/2007,1,Hispanic,0,96,97,70,96,0
2018,20,A,6,8/4/2007,2,White,0,73,85,52,80,0
2018,20,A,6,8/4/2007,2,White,0,73,85,52,80,2
2018,21,A,6,8/13/2007,1,Hispanic,0,88,96,54,89,1
2018,22,A,6,4/16/2007,2,Hispanic,0,71,78,52,75,0
2018,23,A,6,3/2/2007,1,Black,0,86,83,54,85,2
2018,24,A,6,9/6/2006,1,White,0,97,99,73,97,0
2018,25,A,6,11/28/2006,1,White,0,91,88,58,89,0
2018,26,A,6,4/24/2007,1,Black,1,71,68,51,70,0
2018,27,A,6,6/9/2007,1,White,0,97,93,73,94,0
